,Nationality,Name
0,Afghanistan,4
1,Albania,39
2,Algeria,60
3,Andorra,1
4,Angola,15
5,Antigua & Barbuda,4
6,Argentina,936
7,Armenia,10
8,Australia,236
9,Austria,296
10,Azerbaijan,5
11,Barbados,3
12,Belarus,4
13,Belgium,259
14,Belize,1
15,Benin,15
16,Bermuda,2
17,Bolivia,25
18,Bosnia Herzegovina,61
19,Botswana,1
20,Brazil,825
21,Bulgaria,32
22,Burkina Faso,16
23,Burundi,3
24,Cameroon,90
25,Canada,64
26,Cape Verde,19
27,Central African Rep.,3
28,Chad,2
29,Chile,388
30,China,390
31,Colombia,616
32,Comoros,6
33,Congo,25
34,Costa Rica,30
35,Croatia,126
36,Cuba,4
37,Curacao,14
38,Cyprus,8
39,Czech Republic,100
40,DR Congo,52
41,Denmark,335
42,Dominican Republic,2
43,Ecuador,43
44,Egypt,31
45,El Salvador,5
46,Equatorial Guinea,5
47,Eritrea,2
48,Estonia,12
49,Ethiopia,1
50,FYR Macedonia,20
51,Faroe Islands,6
52,Fiji,1
53,Finland,67
54,France,911
55,Gabon,15
56,Gambia,15
57,Georgia,26
58,Germany,1195
59,Ghana,114
60,Greece,102
61,Grenada,1
62,Guam,1
63,Guatemala,3
64,Guinea,31
65,Guinea Bissau,15
66,Guyana,3
67,Haiti,10
68,Honduras,16
69,Hong Kong,2
70,Hungary,38
71,Iceland,47
72,India,23
73,Indonesia,1
74,Iran,17
75,Iraq,7
76,Israel,14
77,Italy,699
78,Ivory Coast,100
79,Jamaica,32
80,Japan,478
81,Jordan,1
82,Kazakhstan,4
83,Kenya,10
84,Korea DPR,4
85,Korea Republic,333
86,Kosovo,33
87,Kuwait,1
88,Latvia,6
89,Lebanon,1
90,Liberia,1
91,Libya,4
92,Liechtenstein,3
93,Lithuania,8
94,Luxembourg,8
95,Madagascar,12
96,Mali,43
97,Malta,1
98,Mauritania,4
99,Mauritius,1
100,Mexico,365
101,Moldova,5
102,Montenegro,23
103,Montserrat,4
104,Morocco,85
105,Mozambique,4
106,Namibia,3
107,Netherlands,452
108,New Caledonia,1
109,New Zealand,44
110,Nicaragua,1
111,Niger,3
112,Nigeria,121
113,Northern Ireland,79
114,Norway,341
115,Oman,1
116,Palestine,1
117,Panama,15
118,Paraguay,84
119,Peru,37
120,Philippines,2
121,Poland,348
122,Portugal,322
123,Puerto Rico,1
124,Qatar,1
125,Republic of Ireland,368
126,Romania,54
127,Russia,79
128,Rwanda,1
129,Saudi Arabia,337
130,Scotland,283
131,Senegal,130
132,Serbia,126
133,Sierra Leone,6
134,Slovakia,54
135,Slovenia,55
136,South Africa,71
137,South Sudan,1
138,Spain,1071
139,St Kitts Nevis,3
140,St Lucia,1
141,Sudan,3
142,Suriname,4
143,Sweden,396
144,Switzerland,220
145,Syria,9
146,São Tomé & Príncipe,1
147,Tanzania,3
148,Thailand,5
149,Togo,12
150,Trinidad & Tobago,4
151,Tunisia,32
152,Turkey,303
153,Uganda,6
154,Ukraine,73
155,United Arab Emirates,1
156,United Kingdom,1657
157,United States of America,353
158,Uruguay,149
159,Uzbekistan,2
160,Venezuela,66
161,Wales,129
162,Zambia,9
163,Zimbabwe,13
