,Name,Club,Nationality,Age,Overall,Height,Weight,Position,Preferred Foot,Value,Wage,Acceleration,Finishing,Vision,BallControl,Dribbling,Strength
0,L. Messi,FC Barcelona,Argentina,31,94,170.18,159,RF,Left,110500000.0,565000,91.0,95.0,94.0,96.0,97.0,59.0
1,Cristiano Ronaldo,Juventus,Portugal,33,94,187.96,183,ST,Right,77000000.0,405000,89.0,94.0,82.0,94.0,88.0,79.0
2,Neymar Jr,Paris Saint-Germain,Brazil,26,92,175.26,150,LW,Right,118500000.0,290000,94.0,87.0,87.0,95.0,96.0,49.0
3,De Gea,Manchester United,Spain,27,91,193.04,168,GK,Right,72000000.0,260000,57.0,13.0,68.0,42.0,18.0,64.0
4,K. De Bruyne,Manchester City,Belgium,27,91,180.34,154,RCM,Right,102000000.0,355000,78.0,82.0,94.0,91.0,86.0,75.0
5,E. Hazard,Chelsea,Belgium,27,91,172.72,163,LF,Right,93000000.0,340000,94.0,84.0,89.0,94.0,95.0,66.0
6,L. Modrić,Real Madrid,Croatia,32,91,172.72,146,RCM,Right,67000000.0,420000,80.0,72.0,92.0,93.0,90.0,58.0
7,L. Suárez,FC Barcelona,Uruguay,31,91,182.88,190,RS,Right,80000000.0,455000,86.0,93.0,84.0,90.0,87.0,83.0
8,Sergio Ramos,Real Madrid,Spain,32,91,182.88,181,RCB,Right,51000000.0,380000,76.0,60.0,63.0,84.0,63.0,83.0
9,J. Oblak,Atlético Madrid,Slovenia,25,90,187.96,192,GK,Right,68000000.0,94000,43.0,11.0,70.0,16.0,12.0,78.0
10,R. Lewandowski,FC Bayern München,Poland,29,90,182.88,176,ST,Right,77000000.0,205000,77.0,91.0,77.0,89.0,85.0,84.0
11,T. Kroos,Real Madrid,Germany,28,90,182.88,168,LCM,Right,76500000.0,355000,64.0,76.0,86.0,90.0,81.0,73.0
12,D. Godín,Atlético Madrid,Uruguay,32,90,187.96,172,CB,Right,44000000.0,125000,68.0,42.0,52.0,76.0,53.0,88.0
13,David Silva,Manchester City,Spain,32,90,172.72,148,LCM,Left,60000000.0,285000,70.0,76.0,92.0,94.0,89.0,52.0
14,N. Kanté,Chelsea,France,27,89,167.64000000000001,159,LDM,Right,63000000.0,225000,82.0,65.0,79.0,80.0,79.0,76.0
15,P. Dybala,Juventus,Argentina,24,89,177.8,165,LF,Left,89000000.0,205000,87.0,84.0,87.0,92.0,92.0,65.0
16,H. Kane,Tottenham Hotspur,England,24,89,187.96,196,ST,Right,83500000.0,205000,68.0,94.0,80.0,84.0,80.0,84.0
17,A. Griezmann,Atlético Madrid,France,27,89,175.26,161,CAM,Left,78000000.0,145000,88.0,90.0,83.0,90.0,88.0,62.0
18,M. ter Stegen,FC Barcelona,Germany,26,89,187.96,187,GK,Right,58000000.0,240000,38.0,14.0,69.0,18.0,17.0,79.0
19,T. Courtois,Real Madrid,Belgium,26,89,198.12,212,GK,Left,53500000.0,240000,46.0,14.0,44.0,23.0,13.0,70.0
20,Sergio Busquets,FC Barcelona,Spain,29,89,187.96,168,CDM,Right,51500000.0,315000,50.0,67.0,87.0,88.0,80.0,77.0
21,E. Cavani,Paris Saint-Germain,Uruguay,31,89,185.42,170,LS,Right,60000000.0,200000,75.0,89.0,77.0,82.0,80.0,78.0
22,M. Neuer,FC Bayern München,Germany,32,89,193.04,203,GK,Right,38000000.0,130000,54.0,13.0,70.0,48.0,30.0,80.0
23,S. Agüero,Manchester City,Argentina,30,89,172.72,154,ST,Right,64500000.0,300000,88.0,93.0,83.0,89.0,89.0,73.0
24,G. Chiellini,Juventus,Italy,33,89,187.96,187,LCB,Left,27000000.0,215000,63.0,33.0,50.0,57.0,58.0,89.0
25,K. Mbappé,Paris Saint-Germain,France,19,88,177.8,161,RM,Right,81000000.0,100000,96.0,88.0,82.0,91.0,90.0,71.0
